('Landslide Hot Chocolate', 'Hot Beverages', 'Beverages')
('PigTail Low Fat Waffles', 'Breakfast Foods', 'Frozen Foods')
('Carlson Havarti Cheese', 'Dairy', 'Dairy')
('Tell Tale Baby Onion', 'Vegetables', 'Produce')
('High Top Mushrooms', 'Vegetables', 'Produce')
('CDR Columbian Coffee', 'Hot Beverages', 'Beverages')
('Red Wing Paper Cups', 'Paper Products', 'Household')
('Portsmouth Light Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Pleasant Fancy Canned Sardines', 'Canned Sardines', 'Canned Foods')
('Medalist Rice Medly', 'Starchy Foods', 'Starchy Foods')
('Hermanos Red Delcious Apples', 'Fruit', 'Produce')
('Fast Salsa Dip', 'Snack Foods', 'Snack Foods')
('Hermanos Mushrooms', 'Vegetables', 'Produce')
('Steady 200 MG Acetominifen', 'Pain Relievers', 'Health and Hygiene')
('Landslide French Roast Coffee', 'Hot Beverages', 'Beverages')
('Red Wing Soft Napkins', 'Paper Products', 'Household')
('Cormorant AAA-Size Batteries', 'Electrical', 'Household')
('High Top Macintosh Apples', 'Fruit', 'Produce')
('Just Right Creamed Corn', 'Vegetables', 'Canned Foods')
('Bird Call 200 MG Acetominifen', 'Pain Relievers', 'Health and Hygiene')
('Cormorant AA-Size Batteries', 'Electrical', 'Household')
('Fast Lemon Cookies', 'Snack Foods', 'Snack Foods')
('Fort West Salsa Dip', 'Snack Foods', 'Snack Foods')
('Good Imported Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Horatio Low Fat Chips', 'Snack Foods', 'Snack Foods')
('Excellent Mango Drink', 'Drinks', 'Beverages')
('Horatio Dried Apples', 'Snack Foods', 'Snack Foods')
('Landslide Vegetable Oil', 'Baking Goods', 'Baking Goods')
('Sunset Scissors', 'Hardware', 'Household')
('Landslide Columbian Coffee', 'Hot Beverages', 'Beverages')
('Cormorant Paper Plates', 'Paper Products', 'Household')
('Carrington Frozen Sausage Pizza', 'Pizza', 'Frozen Foods')
('Even Better 2\\% Milk', 'Dairy', 'Dairy Drink')
('Plato Creamy Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Plato White Sugar', 'Baking Goods', 'Baking Goods')
('Nationeel Mini Donuts', 'Snack Foods', 'Snack Foods')
('Cutting Edge Low Fat Cole Slaw', 'Side Dishes', 'Deli')
('High Top Fuji Apples', 'Fruit', 'Produce')
('Club Jack Cheese', 'Dairy', 'Dairy')
('Denny D-Size Batteries', 'Electrical', 'Household')
('Super Strawberry Jelly', 'Jams and Jellies', 'Baking Goods')
('Imagine Orange Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Even Better Sour Cream', 'Dairy', 'Dairy')
('Plato Oregano', 'Baking Goods', 'Baking Goods')
('Tri-State Honey Dew', 'Fruit', 'Produce')
('Fort West Raisins', 'Snack Foods', 'Snack Foods')
('Framton Eyeglass Screwdriver', 'Hardware', 'Checkout')
('Fort West Strawberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Red Wing Scented Toilet Tissue', 'Paper Products', 'Household')
('Lake Sliced Chicken', 'Meat', 'Deli')
('Sunset Paper Cups', 'Paper Products', 'Household')
('Token Strawberry Drink', 'Drinks', 'Beverages')
('BBB Best Strawberry Jelly', 'Jams and Jellies', 'Baking Goods')
('Ebony Sweet Peas', 'Vegetables', 'Produce')
('Big Time Apple Cinnamon Waffles', 'Breakfast Foods', 'Frozen Foods')
('Fort West Buttered Popcorn', 'Snack Foods', 'Snack Foods')
('Fort West Sugar Cookies', 'Snack Foods', 'Snack Foods')
('Cormorant 75 Watt Lightbulb', 'Electrical', 'Household')
('Best Choice Salsa Dip', 'Snack Foods', 'Snack Foods')
('High Quality Plastic Forks', 'Plastic Products', 'Household')
('Big Time Pancake Mix', 'Breakfast Foods', 'Frozen Foods')
('Red Wing 75 Watt Lightbulb', 'Electrical', 'Household')
('Bravo Canned Tuna in Water', 'Canned Tuna', 'Canned Foods')
('High Top Asparagus', 'Vegetables', 'Produce')
('BBB Best Sesame Oil', 'Baking Goods', 'Baking Goods')
('Colossal Rice Medly', 'Starchy Foods', 'Starchy Foods')
('Horatio Buttered Popcorn', 'Snack Foods', 'Snack Foods')
('Tell Tale Lemons', 'Fruit', 'Produce')
('Excellent Diet Cola', 'Carbonated Beverages', 'Beverages')
('Sunset Glass Cleaner', 'Cleaning Supplies', 'Household')
('CDR Low Fat Apple Butter', 'Jams and Jellies', 'Baking Goods')
('PigTail Lemon Popsicles', 'Frozen Desserts', 'Frozen Foods')
('American Beef Bologna', 'Meat', 'Deli')
('Plato Regular Coffee', 'Hot Beverages', 'Beverages')
('Even Better Low Fat Sour Cream', 'Dairy', 'Dairy')
('Consolidated Toothpaste', 'Hygiene', 'Health and Hygiene')
('Club Whole Milk', 'Dairy', 'Dairy Drink')
('Tell Tale Garlic', 'Vegetables', 'Produce')
('Fort West Cheese Crackers', 'Snack Foods', 'Snack Foods')
('Golden Apple Cinnamon Waffles', 'Breakfast Foods', 'Frozen Foods')
('Tell Tale Tangerines', 'Fruit', 'Produce')
('Bravo Fancy Canned Clams', 'Canned Clams', 'Canned Foods')
('Tell Tale Asparagus', 'Vegetables', 'Produce')
('Colony Pumpernickel Bread', 'Bread', 'Baked Goods')
('Green Ribbon Canned Mixed Fruit', 'Fruit', 'Canned Products')
('Discover Thai Rice', 'Starchy Foods', 'Starchy Foods')
('Plato Pepper', 'Baking Goods', 'Baking Goods')
('Jardon Manicotti', 'Starchy Foods', 'Starchy Foods')
('Steady Mint Mouthwash', 'Bathroom Products', 'Health and Hygiene')
('Fort West Low Fat BBQ Chips', 'Snack Foods', 'Snack Foods')
('Consolidated Childrens Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Denny Paper Towels', 'Paper Products', 'Household')
('Landslide Strawberry Jelly', 'Jams and Jellies', 'Baking Goods')
('Sunset AA-Size Batteries', 'Electrical', 'Household')
('Nationeel Frosted Donuts', 'Snack Foods', 'Snack Foods')
('Fast Raisins', 'Snack Foods', 'Snack Foods')
('Just Right Turkey Noodle Soup', 'Canned Soup', 'Canned Foods')
('Better Vegetable Soup', 'Canned Soup', 'Canned Foods')
('Hermanos Summer Squash', 'Vegetables', 'Produce')
('Tell Tale Firm Tofu', 'Packaged Vegetables', 'Produce')
('Landslide Apple Jam', 'Jams and Jellies', 'Baking Goods')
('Imagine Grape Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Imagine Frozen Corn', 'Vegetables', 'Frozen Foods')
('Best Choice Potato Chips', 'Snack Foods', 'Snack Foods')
('American Corned Beef', 'Meat', 'Deli')
('Steady Childrens Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Best Choice Grape Fruit Roll', 'Snack Foods', 'Snack Foods')
('Hilltop Buffered Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Consolidated Deodorant', 'Hygiene', 'Health and Hygiene')
('Washington Cream Soda', 'Carbonated Beverages', 'Beverages')
('Giant Small Brown Eggs', 'Eggs', 'Eggs')
('Fast Low Fat Cookies', 'Snack Foods', 'Snack Foods')
('Horatio Apple Fruit Roll', 'Snack Foods', 'Snack Foods')
('Sunset AAA-Size Batteries', 'Electrical', 'Household')
('Landslide Sesame Oil', 'Baking Goods', 'Baking Goods')
('Sunset Plastic Spoons', 'Plastic Products', 'Household')
('Landslide Apple Jelly', 'Jams and Jellies', 'Baking Goods')
('Red Wing Tissues', 'Paper Products', 'Household')
('Best Choice Mini Donuts', 'Snack Foods', 'Snack Foods')
('Robust Monthly Computer Magazine', 'Magazines', 'Periodicals')
('Ebony Oranges', 'Fruit', 'Produce')
('Fast Raspberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Booker Sour Cream', 'Dairy', 'Dairy')
('Red Spade Cole Slaw', 'Side Dishes', 'Deli')
('Skinner Berry Juice', 'Pure Juice Beverages', 'Beverages')
('Fantastic Wheat Bread', 'Bread', 'Baked Goods')
('Lake Foot-Long Hot Dogs', 'Meat', 'Deli')
('Tri-State Baby Onion', 'Vegetables', 'Produce')
('Best Choice BBQ Potato Chips', 'Snack Foods', 'Snack Foods')
('Best Choice Frosted Cookies', 'Snack Foods', 'Snack Foods')
('Super White Sugar', 'Baking Goods', 'Baking Goods')
('Tell Tale Honey Dew', 'Fruit', 'Produce')
('Thresher Mint Chocolate Bar', 'Candy', 'Snacks')
('High Top Shitake Mushrooms', 'Vegetables', 'Produce')
('Better Canned Yams', 'Vegetables', 'Canned Foods')
('Hilltop Dishwasher Detergent', 'Decongestants', 'Health and Hygiene')
('Plato Strawberry Preserves', 'Jams and Jellies', 'Baking Goods')
('Carlson Sharp Cheddar Cheese', 'Dairy', 'Dairy')
('Portsmouth Chardonnay Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Fort West Avocado Dip', 'Snack Foods', 'Snack Foods')
('Hermanos Asparagus', 'Vegetables', 'Produce')
('Fast Potato Chips', 'Snack Foods', 'Snack Foods')
('Fast Apple Fruit Roll', 'Snack Foods', 'Snack Foods')
('BBB Best Salt', 'Baking Goods', 'Baking Goods')
('Nationeel Fondue Mix', 'Snack Foods', 'Snack Foods')
('Big Time Frozen Corn', 'Vegetables', 'Frozen Foods')
('Tell Tale Cantelope', 'Fruit', 'Produce')
('Denny 75 Watt Lightbulb', 'Electrical', 'Household')
('Consolidated Mint Mouthwash', 'Bathroom Products', 'Health and Hygiene')
('Gulf Coast Mints', 'Candy', 'Snacks')
('Toretti Rosy Sunglasses', 'Specialty', 'Carousel')
('Gauss Monthly Auto Magazine', 'Magazines', 'Periodicals')
('Nationeel Avocado Dip', 'Snack Foods', 'Snack Foods')
('High Quality 25 Watt Lightbulb', 'Electrical', 'Household')
('Ebony Lemons', 'Fruit', 'Produce')
('Big Time Beef TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Big Time Frozen Broccoli', 'Vegetables', 'Frozen Foods')
('Tri-State Summer Squash', 'Vegetables', 'Produce')
('Blue Medal Small Eggs', 'Eggs', 'Eggs')
('Golden Waffles', 'Breakfast Foods', 'Frozen Foods')
('Cormorant Copper Cleaner', 'Kitchen Products', 'Household')
('Special Oatmeal', 'Breakfast Foods', 'Breakfast Foods')
('Cormorant Toilet Paper', 'Paper Products', 'Household')
('Fantastic Bagels', 'Bread', 'Baked Goods')
('Plato Grape Jelly', 'Jams and Jellies', 'Baking Goods')
('Carlson Blueberry Yogurt', 'Dairy', 'Dairy')
('Faux Products Dishwasher Detergent', 'Decongestants', 'Health and Hygiene')
('Denny Paper Plates', 'Paper Products', 'Household')
('Denny AAA-Size Batteries', 'Electrical', 'Household')
('Carlson Mild Cheddar Cheese', 'Dairy', 'Dairy')
('Booker Low Fat Cottage Cheese', 'Dairy', 'Dairy')
('Booker Whole Milk', 'Dairy', 'Dairy Drink')
('Queen Eyeglass Screwdriver', 'Hardware', 'Checkout')
('Tri-State Red Pepper', 'Vegetables', 'Produce')
('Carrington Frozen Pepperoni Pizza', 'Pizza', 'Frozen Foods')
('Top Measure Chablis Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Top Measure Merlot Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Fast Beef Jerky', 'Snack Foods', 'Snack Foods')
('Excel Monthly Computer Magazine', 'Magazines', 'Periodicals')
('Johnson Oatmeal', 'Breakfast Foods', 'Breakfast Foods')
('Plato Corn Oil', 'Baking Goods', 'Baking Goods')
('High Top Tangerines', 'Fruit', 'Produce')
('Hilltop Toothpaste', 'Hygiene', 'Health and Hygiene')
('Carrington Frozen Cheese Pizza', 'Pizza', 'Frozen Foods')
('Plato Salt', 'Baking Goods', 'Baking Goods')
('Even Better Head Cheese', 'Dairy', 'Dairy')
('Faux Products Whitening Toothpast', 'Hygiene', 'Health and Hygiene')
('Denny Scissors', 'Hardware', 'Household')
('Tri-State Golden Delcious Apples', 'Fruit', 'Produce')
('Golden Low Fat Waffles', 'Breakfast Foods', 'Frozen Foods')
('Cormorant 100 Watt Lightbulb', 'Electrical', 'Household')
('High Top Plums', 'Fruit', 'Produce')
('Pearl Chablis Wine', 'Beer and Wine', 'Alcoholic Beverages')
('PigTail Apple Cinnamon Waffles', 'Breakfast Foods', 'Frozen Foods')
('Golden Grape Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Horatio Lemon Cookies', 'Snack Foods', 'Snack Foods')
('Akron City Map', 'Miscellaneous', 'Checkout')
('Genteel Extra Lean Hamburger', 'Meat', 'Meat')
('Tell Tale Fresh Lima Beans', 'Vegetables', 'Produce')
('Horatio No Salt Popcorn', 'Snack Foods', 'Snack Foods')
('Carrington Frozen Cauliflower', 'Vegetables', 'Frozen Foods')
('PigTail Frozen Corn', 'Vegetables', 'Frozen Foods')
('Plato Canola Oil', 'Baking Goods', 'Baking Goods')
('CDR Creamy Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Modell Rye Bread', 'Bread', 'Baked Goods')
('Hilltop Whitening Toothpast', 'Hygiene', 'Health and Hygiene')
('Ebony Tangerines', 'Fruit', 'Produce')
('Sunset Toilet Bowl Cleaner', 'Cleaning Supplies', 'Household')
('Faux Products Laundry Detergent', 'Bathroom Products', 'Health and Hygiene')
('Colossal Manicotti', 'Starchy Foods', 'Starchy Foods')
('Horatio Low Fat BBQ Chips', 'Snack Foods', 'Snack Foods')
('Booker Blueberry Yogurt', 'Dairy', 'Dairy')
('Red Wing Silver Cleaner', 'Kitchen Products', 'Household')
('Denny Frying Pan', 'Kitchen Products', 'Household')
('Cormorant Economy Toilet Brush', 'Bathroom Products', 'Household')
('Hermanos Party Nuts', 'Specialty', 'Produce')
('Tri-State Onions', 'Vegetables', 'Produce')
('Tri-State Fuji Apples', 'Fruit', 'Produce')
('Gorilla Low Fat Sour Cream', 'Dairy', 'Dairy')
('Bird Call Conditioning Shampoo', 'Bathroom Products', 'Health and Hygiene')
('High Quality 75 Watt Lightbulb', 'Electrical', 'Household')
('CDR Decaf Coffee', 'Hot Beverages', 'Beverages')
('Denny Room Freshener', 'Cleaning Supplies', 'Household')
('Even Better Mild Cheddar Cheese', 'Dairy', 'Dairy')
('Imagine Frozen Chicken Breast', 'Meat', 'Frozen Foods')
('Cormorant Frying Pan', 'Kitchen Products', 'Household')
('CDR Apple Jam', 'Jams and Jellies', 'Baking Goods')
('Bravo Canned Tomatos', 'Vegetables', 'Canned Foods')
('Hermanos Mandarin Oranges', 'Fruit', 'Produce')
('High Top Mandarin Oranges', 'Fruit', 'Produce')
('Ebony Broccoli', 'Vegetables', 'Produce')
('Bird Call HCL Nasal Spray', 'Decongestants', 'Health and Hygiene')
('American Low Fat Bologna', 'Meat', 'Deli')
('Fast Strawberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('High Top Oranges', 'Fruit', 'Produce')
('Carrington Pancake Mix', 'Breakfast Foods', 'Frozen Foods')
('Cutting Edge Turkey Hot Dogs', 'Meat', 'Deli')
('Bravo Creamed Corn', 'Vegetables', 'Canned Foods')
('Tri-State Oranges', 'Fruit', 'Produce')
('Ebony Sweet Onion', 'Vegetables', 'Produce')
('Tri-State Plums', 'Fruit', 'Produce')
('Thresher Semi-Sweet Chocolate Bar', 'Candy', 'Snacks')
('Fabulous Strawberry Drink', 'Drinks', 'Beverages')
('Consolidated Buffered Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Faux Products Mint Mouthwash', 'Bathroom Products', 'Health and Hygiene')
('Blue Label Fancy Canned Oysters', 'Canned Oysters', 'Canned Foods')
('Great Rye Bread', 'Bread', 'Baked Goods')
('Golden Frozen Corn', 'Vegetables', 'Frozen Foods')
('Red Wing AA-Size Batteries', 'Electrical', 'Household')
('Big Time Ice Cream', 'Frozen Desserts', 'Frozen Foods')
('Dollar Monthly Computer Magazine', 'Magazines', 'Periodicals')
('Moms Low Fat Bologna', 'Meat', 'Deli')
('Landslide Strawberry Jam', 'Jams and Jellies', 'Baking Goods')
('Just Right Rice Soup', 'Canned Soup', 'Canned Foods')
('Fast BBQ Potato Chips', 'Snack Foods', 'Snack Foods')
('Tri-State Sweet Onion', 'Vegetables', 'Produce')
('Super Extra Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Pleasant Noodle Soup', 'Canned Soup', 'Canned Foods')
('Tri-State Mushrooms', 'Vegetables', 'Produce')
('Tri-State Canned Peanuts', 'Specialty', 'Produce')
('Denny Glass Cleaner', 'Cleaning Supplies', 'Household')
('Curlew Lox', 'Seafood', 'Seafood')
('Horatio Frosted Cookies', 'Snack Foods', 'Snack Foods')
('Imagine Waffles', 'Breakfast Foods', 'Frozen Foods')
('PigTail Fajita French Fries', 'Vegetables', 'Frozen Foods')
('Amigo Scallops', 'Seafood', 'Seafood')
('Landslide Grape Jam', 'Jams and Jellies', 'Baking Goods')
('Fast Mini Donuts', 'Snack Foods', 'Snack Foods')
('Fantastic Cranberry Muffins', 'Bread', 'Baked Goods')
('Blue Label Canned Tuna in Water', 'Canned Tuna', 'Canned Foods')
('Hermanos Oranges', 'Fruit', 'Produce')
('Special Corn Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Sunset 100 Watt Lightbulb', 'Electrical', 'Household')
('High Quality Plastic Spoons', 'Plastic Products', 'Household')
('Consolidated Conditioning Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Carrington Lime Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Steady Whitening Toothpast', 'Hygiene', 'Health and Hygiene')
('Radius Grits', 'Breakfast Foods', 'Breakfast Foods')
('Hermanos Garlic', 'Vegetables', 'Produce')
('Jumbo Small Eggs', 'Eggs', 'Eggs')
('Denny Toilet Paper', 'Paper Products', 'Household')
('Horatio Sugar Cookies', 'Snack Foods', 'Snack Foods')
('Big Time Frozen Chicken Wings', 'Meat', 'Frozen Foods')
('Better Fancy Canned Clams', 'Canned Clams', 'Canned Foods')
('Bravo Regular Ramen Soup', 'Canned Soup', 'Canned Foods')
('Plato Grape Preserves', 'Jams and Jellies', 'Baking Goods')
('Excellent Cola', 'Carbonated Beverages', 'Beverages')
('Better Fancy Canned Anchovies', 'Canned Anchovies', 'Canned Foods')
('Cormorant 60 Watt Lightbulb', 'Electrical', 'Household')
('Tri-State Shitake Mushrooms', 'Vegetables', 'Produce')
('Sunset Scented Tissue', 'Paper Products', 'Household')
('Tri-State Corn on the Cob', 'Vegetables', 'Produce')
('Red Wing Screw Driver', 'Hardware', 'Household')
('Just Right Canned Tuna in Oil', 'Canned Tuna', 'Canned Foods')
('Best Choice Lemon Cookies', 'Snack Foods', 'Snack Foods')
('Booker 1\\% Milk', 'Dairy', 'Dairy Drink')
('Red Wing Toilet Paper', 'Paper Products', 'Household')
('High Quality Counter Cleaner', 'Cleaning Supplies', 'Household')
('Just Right Fancy Canned Oysters', 'Canned Oysters', 'Canned Foods')
('High Quality AAA-Size Batteries', 'Electrical', 'Household')
('Steady Silky Smooth Hair Conditioner', 'Bathroom Products', 'Health and Hygiene')
('Atomic Mints', 'Candy', 'Snacks')
('Gorilla Low Fat String Cheese', 'Dairy', 'Dairy')
('Golden Ice Cream', 'Frozen Desserts', 'Frozen Foods')
('Bird Call Childrens Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Blue Label Fancy Canned Clams', 'Canned Clams', 'Canned Foods')
('Discover Manicotti', 'Starchy Foods', 'Starchy Foods')
('Plato Strawberry Jam', 'Jams and Jellies', 'Baking Goods')
('Just Right Chicken Ramen Soup', 'Canned Soup', 'Canned Foods')
('PigTail Frozen Broccoli', 'Vegetables', 'Frozen Foods')
('Token Cream Soda', 'Carbonated Beverages', 'Beverages')
('Horatio Low Fat Popcorn', 'Snack Foods', 'Snack Foods')
('Jeffers Grits', 'Breakfast Foods', 'Breakfast Foods')
('Steady HCL Nasal Spray', 'Decongestants', 'Health and Hygiene')
('Sphinx Pumpernickel Bread', 'Bread', 'Baked Goods')
('Sunset Plastic Knives', 'Plastic Products', 'Household')
('Landslide Corn Oil', 'Baking Goods', 'Baking Goods')
('Bravo Chicken Soup', 'Canned Soup', 'Canned Foods')
('Better Chicken Soup', 'Canned Soup', 'Canned Foods')
('Fort West Salted Pretzels', 'Snack Foods', 'Snack Foods')
('Token Diet Soda', 'Carbonated Beverages', 'Beverages')
('Imagine Ice Cream Sandwich', 'Frozen Desserts', 'Frozen Foods')
('Hermanos New Potatos', 'Vegetables', 'Produce')
('Fast Fudge Cookies', 'Snack Foods', 'Snack Foods')
('Red Spade Potato Salad', 'Side Dishes', 'Deli')
('BBB Best Strawberry Preserves', 'Jams and Jellies', 'Baking Goods')
('PigTail Beef TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('High Quality Frying Pan', 'Kitchen Products', 'Household')
('PigTail Chicken TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Cutting Edge Corned Beef', 'Meat', 'Deli')
('Fantastic White Bread', 'Bread', 'Baked Goods')
('Ebony Mushrooms', 'Vegetables', 'Produce')
('High Quality Paper Plates', 'Paper Products', 'Household')
('Tri-State Asparagus', 'Vegetables', 'Produce')
('Blue Label Canned Peas', 'Vegetables', 'Canned Foods')
('Pearl Light Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Landslide Tomato Sauce', 'Baking Goods', 'Baking Goods')
('Fort West Fudge Brownies', 'Snack Foods', 'Snack Foods')
('High Top Lettuce', 'Vegetables', 'Produce')
('Denny 100 Watt Lightbulb', 'Electrical', 'Household')
('Bravo Large Canned Shrimp', 'Canned Shrimp', 'Canned Foods')
('Tri-State Elephant Garlic', 'Vegetables', 'Produce')
('Hilltop 200 MG Ibuprofen', 'Pain Relievers', 'Health and Hygiene')
('American Turkey Hot Dogs', 'Meat', 'Deli')
('Imagine Blueberry Waffles', 'Breakfast Foods', 'Frozen Foods')
('Tell Tale Onions', 'Vegetables', 'Produce')
('Excellent Strawberry Drink', 'Drinks', 'Beverages')
('Urban Small Brown Eggs', 'Eggs', 'Eggs')
('High Top Sweet Onion', 'Vegetables', 'Produce')
('Golden Frozen Broccoli', 'Vegetables', 'Frozen Foods')
('PigTail Ice Cream', 'Frozen Desserts', 'Frozen Foods')
('Black Tie City Map', 'Miscellaneous', 'Checkout')
('BBB Best Canola Oil', 'Baking Goods', 'Baking Goods')
('Even Better String Cheese', 'Dairy', 'Dairy')
('Hermanos Broccoli', 'Vegetables', 'Produce')
('Red Wing Plastic Forks', 'Plastic Products', 'Household')
('Washington Apple Drink', 'Drinks', 'Beverages')
('Fast Fondue Mix', 'Snack Foods', 'Snack Foods')
('Pleasant Canned String Beans', 'Vegetables', 'Canned Foods')
('Hilltop Childrens Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Fort West Chocolate Chip Cookies', 'Snack Foods', 'Snack Foods')
('Fort West Mini Donuts', 'Snack Foods', 'Snack Foods')
('Red Wing Frying Pan', 'Kitchen Products', 'Household')
('Gorilla Cheese Spread', 'Dairy', 'Dairy')
('Denny Paper Cups', 'Paper Products', 'Household')
('Symphony Rosy Sunglasses', 'Specialty', 'Carousel')
('Bird Call Angled Toothbrush', 'Bathroom Products', 'Health and Hygiene')
('Carlson Chocolate Milk', 'Dairy', 'Dairy Drink')
('Carlson Low Fat Cottage Cheese', 'Dairy', 'Dairy')
('Steady Dishwasher Detergent', 'Decongestants', 'Health and Hygiene')
('Imagine Low Fat French Fries', 'Vegetables', 'Frozen Foods')
('Fast Low Fat Chips', 'Snack Foods', 'Snack Foods')
('Pleasant Chicken Noodle Soup', 'Canned Soup', 'Canned Foods')
('Bravo Vegetable Soup', 'Canned Soup', 'Canned Foods')
('BBB Best French Roast Coffee', 'Hot Beverages', 'Beverages')
('Better Regular Ramen Soup', 'Canned Soup', 'Canned Foods')
('Tri-State Firm Tofu', 'Packaged Vegetables', 'Produce')
('Best Choice Cheese Crackers', 'Snack Foods', 'Snack Foods')
('Golden Orange Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Club Muenster Cheese', 'Dairy', 'Dairy')
('Blue Label Canned Yams', 'Vegetables', 'Canned Foods')
('Musial Malted Milk Balls', 'Candy', 'Snacks')
('Super Canola Oil', 'Baking Goods', 'Baking Goods')
('Pleasant Large Canned Shrimp', 'Canned Shrimp', 'Canned Foods')
